pair,marker,sample_idx,dist1_mm,dist2_mm,delta_mm,true_mm,error_mm
0_+10,2,67,879.3313193964667,780.702077188002,98.62924220846469,100,1.3707577915353113
0_+10,2,68,879.302148343828,780.8900380787536,98.41211026507438,100,1.587889734925625
0_+10,2,69,879.3618728290953,780.8356953165542,98.52617751254115,100,1.4738224874588468
0_+10,2,70,879.3618728290953,780.8356953165542,98.52617751254115,100,1.4738224874588468
0_+10,2,71,879.3713979579147,780.9468700337651,98.42452792414963,100,1.5754720758503709
0_+10,2,72,879.2821031797519,780.8955208416448,98.38658233810702,100,1.6134176618929814
0_+10,2,73,879.223326496603,780.8189311630505,98.40439533355254,100,1.595604666447457
0_+10,2,74,879.1530341870869,780.8189311630505,98.33410302403638,100,1.6658969759636193
0_+10,2,75,879.1530341870869,780.9503941004136,98.20264008667323,100,1.7973599133267726
0_+10,2,76,879.1721028681136,780.7997507720023,98.37235209611129,100,1.6276479038887146
0_+10,2,77,879.1721028681136,780.9770750484914,98.19502781962217,100,1.8049721803778311
0_+10,2,78,879.316727129634,780.9770750484914,98.33965208114262,100,1.6603479188573829
0_+10,2,79,879.4172000920764,780.823914105433,98.59328598664342,100,1.4067140133565772
